Player,RunningPath,Time
1,Round-out,5.4
1,Narrow Angle,5.5
1,Wide Angle,5.55
2,Round-out,5.85
2,Narrow Angle,5.7
2,Wide Angle,5.75
3,Round-out,5.2
3,Narrow Angle,5.6
3,Wide Angle,5.5
4,Round-out,5.55
4,Narrow Angle,5.5
4,Wide Angle,5.4
5,Round-out,5.9
5,Narrow Angle,5.85
5,Wide Angle,5.7
6,Round-out,5.45
6,Narrow Angle,5.55
6,Wide Angle,5.6
7,Round-out,5.4
7,Narrow Angle,5.4
7,Wide Angle,5.35
8,Round-out,5.45
8,Narrow Angle,5.5
8,Wide Angle,5.35
9,Round-out,5.25
9,Narrow Angle,5.15
9,Wide Angle,5
10,Round-out,5.85
10,Narrow Angle,5.8
10,Wide Angle,5.7
11,Round-out,5.25
11,Narrow Angle,5.2
11,Wide Angle,5.1
12,Round-out,5.65
12,Narrow Angle,5.55
12,Wide Angle,5.45
13,Round-out,5.6
13,Narrow Angle,5.35
13,Wide Angle,5.45
14,Round-out,5.05
14,Narrow Angle,5
14,Wide Angle,4.95
15,Round-out,5.5
15,Narrow Angle,5.5
15,Wide Angle,5.4
16,Round-out,5.45
16,Narrow Angle,5.55
16,Wide Angle,5.5
17,Round-out,5.55
17,Narrow Angle,5.55
17,Wide Angle,5.35
18,Round-out,5.45
18,Narrow Angle,5.5
18,Wide Angle,5.55
19,Round-out,5.5
19,Narrow Angle,5.45
19,Wide Angle,5.25
20,Round-out,5.65
20,Narrow Angle,5.6
20,Wide Angle,5.4
21,Round-out,5.7
21,Narrow Angle,5.65
21,Wide Angle,5.55
22,Round-out,6.3
22,Narrow Angle,6.3
22,Wide Angle,6.25
